1,1,1,1,no contact lenses
1,1,1,2,soft contact lenses
1,1,2,1,no contact lenses
1,1,2,2,hard contact lenses
1,2,1,1,no contact lenses
1,2,1,2,soft contact lenses
1,2,2,1,no contact lenses
1,2,2,2,hard contact lenses
2,1,1,1,no contact lenses
2,1,1,2,soft contact lenses
2,1,2,1,no contact lenses
2,1,2,2,hard contact lenses
2,2,1,1,no contact lenses
2,2,1,2,soft contact lenses
2,2,2,1,no contact lenses
2,2,2,2,no contact lenses
3,1,1,1,no contact lenses
3,1,1,2,no contact lenses
3,1,2,1,no contact lenses
3,1,2,2,hard contact lenses
3,2,1,1,no contact lenses
3,2,1,2,soft contact lenses
3,2,2,1,no contact lenses
3,2,2,2,no contact lenses
